Title: Stellar activity mimics a habitable-zone planet around Kapteyn's star
Authors: Robertson P., Roy A., Mahadevan S. 
Figure: I_H{alpha}_ measurements from HARPS and HIRES
================================================================================
Byte-by-byte Description of file: dbf2.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  5 A5     ---     Spec   Spectrograph used
   7- 22 F16.8  d       BJD    Barycentric Julian Date
  24- 28 F5.2   m/s     RVel   Radial velocity
  30- 33 F4.2   m/s   e_RVel   The 1{sigma} uncertainty in RVel
  35- 41 F7.5   ---     IHa    H{alpha} activity index
  43- 49 F7.5   ---   e_IHa    The 1{sigma} uncertainty in IHa
  51- 57 F7.5   ---     ID     ? Na I D resonance activity index
  59- 65 F7.5   ---   e_ID     ? The 1{sigma} uncertainty in ID
  67- 73 F7.5   km/s    FWHM   ? Full-Width at Half-Maximum of HARPS CCF
  75- 79 F5.2   m/s   e_FWHM   ? The 1{sigma} uncertainty in FWHM
  81- 87 F7.3   m/s     BIS    ? Bisector Inverse Slope
  89- 93 F5.3   m/s   e_BIS    ? The 1{sigma} uncertainty in BIS
--------------------------------------------------------------------------------
HARPS 2452985.74111393  3.11 0.80 0.07502 0.00032 0.05011 0.00169 3.19300  8.26  -8.66  7.03  
HARPS 2452996.76321424  3.00 0.27 0.07603 0.00032 0.04741 0.00184 3.20214  6.03  -7.84  5.13  
HARPS 2453337.80096641 -2.65 0.89 0.07878 0.00031 0.04040 0.00167 3.18834  8.04  -6.71  6.84  
HARPS 2453668.83537539 -2.57 0.52 0.07818 0.00031 0.04415 0.00172 3.20447  5.27 -13.74  4.49  
HARPS 2453670.73947810 -3.76 0.59 0.07773 0.00031 0.04432 0.00166 3.20166  4.49  -8.97  3.82  
HARPS 2454141.57444731  0.56 0.53 0.07647 0.00030 0.04768 0.00161 3.21175  3.93 -17.37  3.35  
HARPS 2454167.53053348 -1.22 0.56 0.07818 0.00031 0.04257 0.00158 3.20490  3.95 -11.06  3.36  
HARPS 2454169.50521598 -1.66 0.48 0.07776 0.00030 0.04279 0.00160 3.20275  3.59 -18.11  3.05  
HARPS 2454173.50080773 -1.57 0.48 0.07750 0.00031 0.04152 0.00151 3.20171  3.73 -15.96  3.18  
HARPS 2454197.51207934  2.47 0.54 0.07603 0.00031 0.04482 0.00168 3.20298  4.52 -15.90  3.85  
HARPS 2454229.46873034  2.59 0.73 0.07538 0.00031 0.04751 0.00170 3.21199  6.07 -15.33  5.16  
HARPS 2454342.86258520  2.61 0.59 0.07852 0.00030 0.04313 0.00163 3.20982  4.11 -17.68  3.50  
HARPS 2454345.87966623  0.29 0.45 0.07799 0.00030 0.04264 0.00163 3.20461  3.53 -13.51  3.01  
HARPS 2454349.83417802  0.35 0.45 0.07882 0.00030 0.04075 0.00165 3.20422  3.73 -14.04  3.17  
HARPS 2454424.73161643  2.40 0.54 0.07724 0.00030 0.04291 0.00176 3.20013  3.85 -12.39  3.28  
HARPS 2454429.71897676  4.68 0.56 0.07787 0.00029 0.04235 0.00168 3.19915  4.11 -12.38  3.50  
HARPS 2454449.76051958  1.27 0.61 0.07896 0.00030 0.03946 0.00157 3.19989  4.73  -8.86  4.03  
HARPS 2454450.64700304  1.67 0.57 0.07933 0.00030 0.03867 0.00158 3.20379  4.20 -12.42  3.58  
HARPS 2454452.70683989  1.15 0.74 0.07906 0.00030 0.03998 0.00150 3.19890  5.59 -20.92  4.75  
HARPS 2454459.64359039  0.16 0.56 0.07846 0.00030 0.04010 0.00163 3.20113  3.62 -18.15  3.08  
HARPS 2454462.70572377  1.82 0.55 0.07792 0.00031 0.04213 0.00165 3.20123  3.65 -11.56  3.11  
HARPS 2454463.69854067  2.61 0.49 0.07800 0.00030 0.04113 0.00161 3.20638  4.47 -17.87  3.80  
HARPS 2454464.68243356  1.07 0.53 0.07797 0.00032 0.04141 0.00162 3.19938  4.39 -13.38  3.73  
HARPS 2454733.89725104 -0.93 0.60 0.07915 0.00031 0.04364 0.00164 3.20454  3.69 -18.17  3.14  
HARPS 2454754.83883186 -2.37 0.57 0.07848 0.00031 0.04323 0.00166 3.21064  4.26  -7.54  3.63  
HARPS 2454767.75805650  0.08 0.58 0.07791 0.00034 0.04228 0.00169 3.20367  4.41 -20.89  3.76  
HARPS 2454879.69685544 -1.36 0.85 0.07877 0.00034 0.04341 0.00162 3.20447  7.14 -21.23  6.08  
HARPS 2454880.52165051 -0.01 1.56 0.07935 0.00035 0.04024 0.00174 3.20155 10.7   -9.57  9.18  
HARPS 2454880.67387852 -2.96 0.76 0.07935 0.00034 0.04057 0.00178 3.19493  5.97  -7.60  5.08  
HARPS 2456417.46007291 -0.10 0.60 0.07437 0.00028 0.05246 0.00159 3.23242  6.91  -8.73  5.88  
HARPS 2456417.46745705 -0.10 0.60 0.07456 0.00029 0.05261 0.00163 3.23540  7.54  -7.73  6.42  
HARPS 2456418.46471079  1.80 0.43 0.07458 0.00030 0.05188 0.00159 3.23027  5.64 -18.34  4.80  
HARPS 2456420.47541195  0.63 0.39 0.07480 0.00030 0.05142 0.00156 3.22727  4.76 -14.53  4.05  
HARPS 2456421.46438055  1.82 0.76 0.07512 0.00030 0.05149 0.00168 3.23457  9.05 -28.03  7.70  
HARPS 2456422.45767840  2.00 0.72 0.07494 0.00031 0.05073 0.00179 3.23028  7.34 -16.85  6.25  
HARPS 2456423.46236562  2.00 0.73 0.07427 0.00029 0.05114 0.00175 3.23661  8.80 -14.66  7.49  
